Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2014,588,6060930,9.7,9.122636536
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2015,605,6076204,9.96,9.509988758
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2016,650,6093000,10.67,10.26168439
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,,3947,42297901,9.33,.
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2010,141,989417,14.25,13.0422874
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2011,152,997821,15.23,14.70978618
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2012,153,1005196,15.22,14.8123226
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2013,147,1014314,14.49,13.98563271
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2014,149,1022867,14.57,13.70945317
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2015,174,1032073,16.86,16.08466597
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2016,162,1042520,15.54,15.64336551
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,,1078,7104208,15.17,.
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2010,106,1826341,5.8,5.535049659
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2011,111,1842283,6.03,6.083959088
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2012,115,1855725,6.2,6.157263183
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2013,111,1868559,5.94,5.901059825
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2014,133,1881145,7.07,6.975439853
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2015,114,1893765,6.02,5.916198229
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2016,116,1907116,6.08,6.074735687
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,,806,13074934,6.16,.
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2010,289,2700552,10.7,10.5143729
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2011,272,2718379,10.01,9.678456695
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2012,274,2752565,9.95,9.578375864
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2013,292,2786464,10.48,10.03805331
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2014,309,2833013,10.91,10.40397036
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2015,293,2883758,10.16,9.505743458
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2016,334,2940058,11.36,10.89652591
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,,2063,19614789,10.52,.
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2010,102,1316469,7.75,7.038669179
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2011,75,1318473,5.69,5.032567203
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2012,98,1321182,7.42,6.649055442
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2013,81,1322687,6.12,5.51244771
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2014,110,1328743,8.28,7.634179197
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2015,107,1330111,8.04,7.787315924
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2016,123,1334795,9.21,8.646877742
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,,696,9272460,7.51,.
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Firearm,2010,187,8791898,2.13,1.935041447
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Firearm,2011,181,8841243,2.05,1.900169024
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Firearm,2012,160,8873211,1.8,1.671993099
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Firearm,2013,194,8899162,2.18,2.018800819
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Firearm,2014,194,8925001,2.17,1.991484116
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Firearm,2015,189,8935421,2.12,1.959493875
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Firearm,2016,176,8944469,1.97,1.800379618
Both Sexes,All Races,New Jersey,Both,All Ages,2010,2016,Suicide Firearm,,1281,62210405,2.06,.
Both Sexes,All Races,New Mexico,Both,All Ages,2010,2016,Suicide Firearm,2010,204,2059180,9.91,9.818304068
Both Sexes,All Races,New Mexico,Both,All Ages,2010,2016,Suicide Firearm,2011,221,2077756,10.64,10.55179823
Both Sexes,All Races,New Mexico,Both,All Ages,2010,2016,Suicide Firearm,2012,230,2083784,11.04,10.80933014
Both Sexes,All Races,New Mexico,Both,All Ages,2010,2016,Suicide Firearm,2013,222,2085193,10.65,10.2744755
Both Sexes,All Races,New Mexico,Both,All Ages,2010,2016,Suicide Firearm,2014,244,2083024,11.71,11.11029753
Both Sexes,All Races,New Mexico,Both,All Ages,2010,2016,Suicide Firearm,2015,275,2080328,13.22,12.5118011
Both Sexes,All Races,New Mexico,Both,All Ages,2010,2016,Suicide Firearm,2016,243,2081015,11.68,11.01682089
Both Sexes,All Races,New Mexico,Both,All Ages,2010,2016,Suicide Firearm,,1639,14550280,11.26,.
Both Sexes,All Races,New York,Both,All Ages,2010,2016,Suicide Firearm,2010,459,19378104,2.37,2.247827569
Both Sexes,All Races,New York,Both,All Ages,2010,2016,Suicide Firearm,2011,505,19519529,2.59,2.409330612
Both Sexes,All Races,New York,Both,All Ages,2010,2016,Suicide Firearm,2012,516,19602769,2.63,2.450606091
Both Sexes,All Races,New York,Both,All Ages,2010,2016,Suicide Firearm,2013,465,19673546,2.36,2.176496081
Both Sexes,All Races,New York,Both,All Ages,2010,2016,Suicide Firearm,2014,474,19718515,2.4,2.202210975
Both Sexes,All Races,New York,Both,All Ages,2010,2016,Suicide Firearm,2015,421,19747183,2.13,1.957732304
Both Sexes,All Races,New York,Both,All Ages,2010,2016,Suicide Firearm,2016,490,19745289,2.48,2.302169373
Both Sexes,All Races,New York,Both,All Ages,2010,2016,Suicide Firearm,,3330,137384935,2.42,.
Both Sexes,All Races,North Carolina,Both,All Ages,2010,2016,Suicide Firearm,2010,707,9535471,7.41,7.206035621
Both Sexes,All Races,North Carolina,Both,All Ages,2010,2016,Suicide Firearm,2011,728,9650963,7.54,7.28014577
Both Sexes,All Races,North Carolina,Both,All Ages,2010,2016,Suicide Firearm,2012,709,9746175,7.27,6.89866193
Both Sexes,All Races,North Carolina,Both,All Ages,2010,2016,Suicide Firearm,2013,771,9841590,7.83,7.444066366
Both Sexes,All Races,North Carolina,Both,All Ages,2010,2016,Suicide Firearm,2014,760,9934399,7.65,7.226116836
Both Sexes,All Races,North Carolina,Both,All Ages,2010,2016,Suicide Firearm,2015,787,10035186,7.84,7.305589164
Both Sexes,All Races,North Carolina,Both,All Ages,2010,2016,Suicide Firearm,2016,788,10146788,7.77,7.33811244
Both Sexes,All Races,North Carolina,Both,All Ages,2010,2016,Suicide Firearm,,5250,68890572,7.62,.
Both Sexes,All Races,North Dakota,Both,All Ages,2010,2016,Suicide Firearm,2010,56,672591,8.33,8.386723396
Both Sexes,All Races,North Dakota,Both,All Ages,2010,2016,Suicide Firearm,2011,51,685476,7.44,7.290458373
Both Sexes,All Races,North Dakota,Both,All Ages,2010,2016,Suicide Firearm,2012,63,702087,8.97,9.042806253
Both Sexes,All Races,North Dakota,Both,All Ages,2010,2016,Suicide Firearm,2013,76,724019,10.5,10.01406774
Both Sexes,All Races,North Dakota,Both,All Ages,2010,2016,Suicide Firearm,2014,85,739904,11.49,10.72227024
Both Sexes,All Races,North Dakota,Both,All Ages,2010,2016,Suicide Firearm,2015,76,756835,10.04,10.22875588
Both Sexes,All Races,North Dakota,Both,All Ages,2010,2016,Suicide Firearm,2016,75,757952,9.9,9.922738428
Both Sexes,All Races,North Dakota,Both,All Ages,2010,2016,Suicide Firearm,,482,5038864,9.57,.
Both Sexes,All Races,Ohio,Both,All Ages,2010,2016,Suicide Firearm,2010,724,11536502,6.28,6.084796813
Both Sexes,All Races,Ohio,Both,All Ages,2010,2016,Suicide Firearm,2011,726,11544824,6.29,5.98530711
Both Sexes,All Races,Ohio,Both,All Ages,2010,2016,Suicide Firearm,2012,784,11550839,6.79,6.424254213
Both Sexes,All Races,Ohio,Both,All Ages,2010,2016,Suicide Firearm,2013,800,11570022,6.91,6.538529647
Both Sexes,All Races,Ohio,Both,All Ages,2010,2016,Suicide Firearm,2014,744,11594408,6.42,6.064525764
Both Sexes,All Races,Ohio,Both,All Ages,2010,2016,Suicide Firearm,2015,861,11605090,7.42,7.099010664
Both Sexes,All Races,Ohio,Both,All Ages,2010,2016,Suicide Firearm,2016,926,11614373,7.97,7.439286536
Both Sexes,All Races,Ohio,Both,All Ages,2010,2016,Suicide Firearm,,5565,81016058,6.87,.
Both Sexes,All Races,Oklahoma,Both,All Ages,2010,2016,Suicide Firearm,2010,376,3751354,10.02,9.931374809
Both Sexes,All Races,Oklahoma,Both,All Ages,2010,2016,Suicide Firearm,2011,440,3786274,11.62,11.54596912
Both Sexes,All Races,Oklahoma,Both,All Ages,2010,2016,Suicide Firearm,2012,411,3817054,10.77,10.52442568
Both Sexes,All Races,Oklahoma,Both,All Ages,2010,2016,Suicide Firearm,2013,433,3852415,11.24,11.0950841
Both Sexes,All Races,Oklahoma,Both,All Ages,2010,2016,Suicide Firearm,2014,435,3877499,11.22,11.014408
Both Sexes,All Races,Oklahoma,Both,All Ages,2010,2016,Suicide Firearm,2015,468,3907414,11.98,11.67224449
Both Sexes,All Races,Oklahoma,Both,All Ages,2010,2016,Suicide Firearm,2016,517,3923561,13.18,12.92126012
Both Sexes,All Races,Oklahoma,Both,All Ages,2010,2016,Suicide Firearm,,3080,26915571,11.44,.
Both Sexes,All Races,Oregon,Both,All Ages,2010,2016,Suicide Firearm,2010,376,3831073,9.81,9.182388633
Both Sexes,All Races,Oregon,Both,All Ages,2010,2016,Suicide Firearm,2011,343,3868031,8.87,8.429194813
Both Sexes,All Races,Oregon,Both,All Ages,2010,2016,Suicide Firearm,2012,367,3899116,9.41,8.89076245
Both Sexes,All Races,Oregon,Both,All Ages,2010,2016,Suicide Firearm,2013,389,3925751,9.91,9.126679712
Both Sexes,All Races,Oregon,Both,All Ages,2010,2016,Suicide Firearm,2014,422,3968371,10.63,9.803976079
Both Sexes,All Races,Oregon,Both,All Ages,2010,2016,Suicide Firearm,2015,373,4024634,9.27,8.531418134
Both Sexes,All Races,Oregon,Both,All Ages,2010,2016,Suicide Firearm,2016,414,4093465,10.11,9.323233116
Both Sexes,All Races,Oregon,Both,All Ages,2010,2016,Suicide Firearm,,2684,27610441,9.72,.
Both Sexes,All Races,Pennsylvania,Both,All Ages,2010,2016,Suicide Firearm,2010,762,12702379,6,5.616794106
Both Sexes,All Races,Pennsylvania,Both,All Ages,2010,2016,Suicide Firearm,2011,883,12744293,6.93,6.446472453
Both Sexes,All Races,Pennsylvania,Both,All Ages,2010,2016,Suicide Firearm,2012,819,12771854,6.41,5.935131282
Both Sexes,All Races,Pennsylvania,Both,All Ages,2010,2016,Suicide Firearm,2013,918,12781338,7.18,6.641994659
Both Sexes,All Races,Pennsylvania,Both,All Ages,2010,2016,Suicide Firearm,2014,897,12790565,7.01,6.280445717
Both Sexes,All Races,Pennsylvania,Both,All Ages,2010,2016,Suicide Firearm,2015,932,12791904,7.29,6.705958873
Both Sexes,All Races,Pennsylvania,Both,All Ages,2010,2016,Suicide Firearm,2016,976,12784227,7.63,7.045328016
Both Sexes,All Races,Pennsylvania,Both,All Ages,2010,2016,Suicide Firearm,,6187,89366560,6.92,.
Both Sexes,All Races,Rhode Island,Both,All Ages,2010,2016,Suicide Firearm,2010,30,1052567,2.85,2.818154237
Both Sexes,All Races,Rhode Island,Both,All Ages,2010,2016,Suicide Firearm,2011,20,1052451,1.9,1.801335698
Both Sexes,All Races,Rhode Island,Both,All Ages,2010,2016,Suicide Firearm,2012,26,1052901,2.47,2.523392445
Both Sexes,All Races,Rhode Island,Both,All Ages,2010,2016,Suicide Firearm,2013,34,1053033,3.23,3.22439488
Both Sexes,All Races,Rhode Island,Both,All Ages,2010,2016,Suicide Firearm,2014,20,1054480,1.9,1.689152722
Both Sexes,All Races,Rhode Island,Both,All Ages,2010,2016,Suicide Firearm,2015,40,1055607,3.79,3.59966515
Both Sexes,All Races,Rhode Island,Both,All Ages,2010,2016,Suicide Firearm,2016,35,1056426,3.31,2.828116763
Both Sexes,All Races,Rhode Island,Both,All Ages,2010,2016,Suicide Firearm,,205,7377465,2.78,.
Both Sexes,All Races,South Carolina,Both,All Ages,2010,2016,Suicide Firearm,2010,392,4625364,8.48,8.239873068
Both Sexes,All Races,South Carolina,Both,All Ages,2010,2016,Suicide Firearm,2011,426,4672637,9.12,8.741035131
Both Sexes,All Races,South Carolina,Both,All Ages,2010,2016,Suicide Firearm,2012,433,4720760,9.17,8.499296543
Both Sexes,All Races,South Carolina,Both,All Ages,2010,2016,Suicide Firearm,2013,470,4767894,9.86,9.23716747
Both Sexes,All Races,South Carolina,Both,All Ages,2010,2016,Suicide Firearm,2014,479,4828430,9.92,9.427793904
Both Sexes,All Races,South Carolina,Both,All Ages,2010,2016,Suicide Firearm,2015,469,4894834,9.58,9.170547639
Both Sexes,All Races,South Carolina,Both,All Ages,2010,2016,Suicide Firearm,2016,525,4961119,10.58,9.933801481
Both Sexes,All Races,South Carolina,Both,All Ages,2010,2016,Suicide Firearm,,3194,33471038,9.54,.
Both Sexes,All Races,South Dakota,Both,All Ages,2010,2016,Suicide Firearm,2010,65,814180,7.98,8.092150285
Both Sexes,All Races,South Dakota,Both,All Ages,2010,2016,Suicide Firearm,2011,60,824398,7.28,7.038574492
Both Sexes,All Races,South Dakota,Both,All Ages,2010,2016,Suicide Firearm,2012,76,834441,9.11,8.685927508
Both Sexes,All Races,South Dakota,Both,All Ages,2010,2016,Suicide Firearm,2013,71,844922,8.4,8.924718051
Both Sexes,All Races,South Dakota,Both,All Ages,2010,2016,Suicide Firearm,2014,76,852561,8.91,8.770137966
Both Sexes,All Races,South Dakota,Both,All Ages,2010,2016,Suicide Firearm,2015,73,857919,8.51,8.230207127
Both Sexes,All Races,South Dakota,Both,All Ages,2010,2016,Suicide Firearm,2016,84,865454,9.71,10.3594697
Both Sexes,All Races,South Dakota,Both,All Ages,2010,2016,Suicide Firearm,,505,5893875,8.57,.
Both Sexes,All Races,Tennessee,Both,All Ages,2010,2016,Suicide Firearm,2010,585,6346113,9.22,8.93144743
Both Sexes,All Races,Tennessee,Both,All Ages,2010,2016,Suicide Firearm,2011,591,6397634,9.24,8.727659334
Both Sexes,All Races,Tennessee,Both,All Ages,2010,2016,Suicide Firearm,2012,626,6454306,9.7,9.138217667
Both Sexes,All Races,Tennessee,Both,All Ages,2010,2016,Suicide Firearm,2013,676,6494821,10.41,9.857347271
Both Sexes,All Races,Tennessee,Both,All Ages,2010,2016,Suicide Firearm,2014,644,6544663,9.84,9.310139402
Both Sexes,All Races,Tennessee,Both,All Ages,2010,2016,Suicide Firearm,2015,638,6595056,9.67,9.128686425
Both Sexes,All Races,Tennessee,Both,All Ages,2010,2016,Suicide Firearm,2016,675,6651194,10.15,9.665771292
Both Sexes,All Races,Tennessee,Both,All Ages,2010,2016,Suicide Firearm,,4435,45483787,9.75,.
Both Sexes,All Races,Texas,Both,All Ages,2010,2016,Suicide Firearm,2010,1702,25145561,6.77,6.973192644
Both Sexes,All Races,Texas,Both,All Ages,2010,2016,Suicide Firearm,2011,1684,25646389,6.57,6.748212631
Both Sexes,All Races,Texas,Both,All Ages,2010,2016,Suicide Firearm,2012,1744,26071655,6.69,6.834425503
Both Sexes,All Races,Texas,Both,All Ages,2010,2016,Suicide Firearm,2013,1780,26473525,6.72,6.812468647
Both Sexes,All Races,Texas,Both,All Ages,2010,2016,Suicide Firearm,2014,1789,26944751,6.64,6.723624477
Both Sexes,All Races,Texas,Both,All Ages,2010,2016,Suicide Firearm,2015,1994,27429639,7.27,7.322136912
Both Sexes,All Races,Texas,Both,All Ages,2010,2016,Suicide Firearm,2016,2016,27862596,7.24,7.280820466
Both Sexes,All Races,Texas,Both,All Ages,2010,2016,Suicide Firearm,,12709,185574116,6.85,.
Both Sexes,All Races,Utah,Both,All Ages,2010,2016,Suicide Firearm,2010,275,2763885,9.95,10.64708433
Both Sexes,All Races,Utah,Both,All Ages,2010,2016,Suicide Firearm,2011,268,2816124,9.52,10.51411847
Both Sexes,All Races,Utah,Both,All Ages,2010,2016,Suicide Firearm,2012,283,2855782,9.91,10.95705197
Both Sexes,All Races,Utah,Both,All Ages,2010,2016,Suicide Firearm,2013,295,2902663,10.16,10.99719622
Both Sexes,All Races,Utah,Both,All Ages,2010,2016,Suicide Firearm,2014,278,2941836,9.45,10.32668433
Both Sexes,All Races,Utah,Both,All Ages,2010,2016,Suicide Firearm,2015,313,2990632,10.47,11.07183481
Both Sexes,All Races,Utah,Both,All Ages,2010,2016,Suicide Firearm,2016,309,3051217,10.13,10.94531626
Both Sexes,All Races,Utah,Both,All Ages,2010,2016,Suicide Firearm,,2021,20322139,9.94,.
Both Sexes,All Races,Vermont,Both,All Ages,2010,2016,Suicide Firearm,2010,66,625741,10.55,9.562537103
Both Sexes,All Races,Vermont,Both,All Ages,2010,2016,Suicide Firearm,2011,70,626730,11.17,10.20949748
Both Sexes,All Races,Vermont,Both,All Ages,2010,2016,Suicide Firearm,2012,50,626444,7.98,7.814895891
Both Sexes,All Races,Vermont,Both,All Ages,2010,2016,Suicide Firearm,2013,59,627140,9.41,8.536418808
Both Sexes,All Races,Vermont,Both,All Ages,2010,2016,Suicide Firearm,2014,59,626984,9.41,8.495505686
Both Sexes,All Races,Vermont,Both,All Ages,2010,2016,Suicide Firearm,2015,59,626088,9.42,7.901950028
Both Sexes,All Races,Vermont,Both,All Ages,2010,2016,Suicide Firearm,2016,69,624594,11.05,9.583719359
Both Sexes,All Races,Vermont,Both,All Ages,2010,2016,Suicide Firearm,,432,4383721,9.85,.
Both Sexes,All Races,Virginia,Both,All Ages,2010,2016,Suicide Firearm,2010,576,8001031,7.2,6.985150418
Both Sexes,All Races,Virginia,Both,All Ages,2010,2016,Suicide Firearm,2011,604,8110035,7.45,7.120224025
Both Sexes,All Races,Virginia,Both,All Ages,2010,2016,Suicide Firearm,2012,587,8192048,7.17,6.987128364
Both Sexes,All Races,Virginia,Both,All Ages,2010,2016,Suicide Firearm,2013,601,8262692,7.27,6.942576926
Both Sexes,All Races,Virginia,Both,All Ages,2010,2016,Suicide Firearm,2014,626,8317372,7.53,7.110459796
Both Sexes,All Races,Virginia,Both,All Ages,2010,2016,Suicide Firearm,2015,630,8367587,7.53,7.06930111
Both Sexes,All Races,Virginia,Both,All Ages,2010,2016,Suicide Firearm,2016,671,8411808,7.98,7.440374549
Both Sexes,All Races,Virginia,Both,All Ages,2010,2016,Suicide Firearm,,4295,57662573,7.45,.
Both Sexes,All Races,Washington,Both,All Ages,2010,2016,Suicide Firearm,2010,464,6724543,6.9,6.737366569
Both Sexes,All Races,Washington,Both,All Ages,2010,2016,Suicide Firearm,2011,495,6822520,7.26,6.925609752
Both Sexes,All Races,Washington,Both,All Ages,2010,2016,Suicide Firearm,2012,529,6895226,7.67,7.339155739
Both Sexes,All Races,Washington,Both,All Ages,2010,2016,Suicide Firearm,2013,483,6968006,6.93,6.531087392
Both Sexes,All Races,Washington,Both,All Ages,2010,2016,Suicide Firearm,2014,551,7054196,7.81,7.462138283
Both Sexes,All Races,Washington,Both,All Ages,2010,2016,Suicide Firearm,2015,537,7160290,7.5,7.229997712
Both Sexes,All Races,Washington,Both,All Ages,2010,2016,Suicide Firearm,2016,515,7288000,7.07,6.615764902
Both Sexes,All Races,Washington,Both,All Ages,2010,2016,Suicide Firearm,,3574,48912781,7.31,.
Both Sexes,All Races,West Virginia,Both,All Ages,2010,2016,Suicide Firearm,2010,210,1852999,11.33,10.63669369
Both Sexes,All Races,West Virginia,Both,All Ages,2010,2016,Suicide Firearm,2011,200,1854972,10.78,10.03530366
Both Sexes,All Races,West Virginia,Both,All Ages,2010,2016,Suicide Firearm,2012,198,1856560,10.66,10.03265053
Both Sexes,All Races,West Virginia,Both,All Ages,2010,2016,Suicide Firearm,2013,225,1853231,12.14,11.31904048
Both Sexes,All Races,West Virginia,Both,All Ages,2010,2016,Suicide Firearm,2014,217,1848514,11.74,10.59475391
Both Sexes,All Races,West Virginia,Both,All Ages,2010,2016,Suicide Firearm,2015,215,1841053,11.68,10.40379974
Both Sexes,All Races,West Virginia,Both,All Ages,2010,2016,Suicide Firearm,2016,238,1831102,13,12.12202659
Both Sexes,All Races,West Virginia,Both,All Ages,2010,2016,Suicide Firearm,,1503,12938431,11.62,.
Both Sexes,All Races,Wisconsin,Both,All Ages,2010,2016,Suicide Firearm,2010,378,5686986,6.65,6.35288807
Both Sexes,All Races,Wisconsin,Both,All Ages,2010,2016,Suicide Firearm,2011,351,5709640,6.15,5.968093388
Both Sexes,All Races,Wisconsin,Both,All Ages,2010,2016,Suicide Firearm,2012,348,5726177,6.08,5.790647702
Both Sexes,All Races,Wisconsin,Both,All Ages,2010,2016,Suicide Firearm,2013,437,5742854,7.61,7.26523074
Both Sexes,All Races,Wisconsin,Both,All Ages,2010,2016,Suicide Firearm,2014,352,5758377,6.11,5.786931289
Both Sexes,All Races,Wisconsin,Both,All Ages,2010,2016,Suicide Firearm,2015,424,5767891,7.35,6.908775226
Both Sexes,All Races,Wisconsin,Both,All Ages,2010,2016,Suicide Firearm,2016,455,5778708,7.87,7.490401229
Both Sexes,All Races,Wisconsin,Both,All Ages,2010,2016,Suicide Firearm,,2745,40170633,6.83,.
Both Sexes,All Races,Wyoming,Both,All Ages,2010,2016,Suicide Firearm,2010,83,563626,14.73,13.75618545
Both Sexes,All Races,Wyoming,Both,All Ages,2010,2016,Suicide Firearm,2011,84,567725,14.8,14.57072926
Both Sexes,All Races,Wyoming,Both,All Ages,2010,2016,Suicide Firearm,2012,102,576765,17.68,17.39471319
Both Sexes,All Races,Wyoming,Both,All Ages,2010,2016,Suicide Firearm,2013,89,582684,15.27,14.20271578
Both Sexes,All Races,Wyoming,Both,All Ages,2010,2016,Suicide Firearm,2014,78,583642,13.36,13.74792885
Both Sexes,All Races,Wyoming,Both,All Ages,2010,2016,Suicide Firearm,2015,95,586555,16.2,16.56470295
Both Sexes,All Races,Wyoming,Both,All Ages,2010,2016,Suicide Firearm,2016,87,585501,14.86,14.954734
Both Sexes,All Races,Wyoming,Both,All Ages,2010,2016,Suicide Firearm,,618,4046498,15.27,.
Both Sexes,All Races,,Both,All Ages,2010,2016,Suicide Firearm,,147565,2213201740,6.67,.
